"strain"	"isolate"	"genbank_title"	"length"	"country"	"host"	"date"
"PQ637688.1"	"AB3741"	"Chikungunya virus isolate AB3741, partial genome"	11728	"Thailand"	"Homo sapiens"	2022-02-25
"PQ637689.1"	"AB3754"	"Chikungunya virus isolate AB3754, partial genome"	11620	"Thailand"	"Homo sapiens"	2022-03-31
"PQ637690.1"	"AB3763"	"Chikungunya virus isolate AB3763, partial genome"	11628	"Thailand"	"Homo sapiens"	2022-04-26
"PQ637691.1"	"AB3772"	"Chikungunya virus isolate AB3772, partial genome"	11609	"Thailand"	"Homo sapiens"	2022-11-05
"PQ637692.1"	"AB3786"	"Chikungunya virus isolate AB3786, partial genome"	11718	"Thailand"	"Homo sapiens"	2022-12-06
"PQ637693.1"	"AB3804"	"Chikungunya virus isolate AB3804, partial genome"	11718	"Thailand"	"Homo sapiens"	2022-07-20
"PQ637694.1"	"AB3816"	"Chikungunya virus isolate AB3816, partial genome"	11379	"Thailand"	"Homo sapiens"	2022-08-17
"PQ637695.1"	"AB3880"	"Chikungunya virus isolate AB3880, partial genome"	11609	"Thailand"	"Homo sapiens"	2022-09-19
"PQ637696.1"	"AB3971"	"Chikungunya virus isolate AB3971, partial genome"	11718	"Thailand"	"Homo sapiens"	2022-11-10
"PQ637697.1"	"AB4202"	"Chikungunya virus isolate AB4202, partial genome"	11728	"Thailand"	"Homo sapiens"	2022-11-30
"PQ637698.1"	"AB4258"	"Chikungunya virus isolate AB4258, partial genome"	11735	"Thailand"	"Homo sapiens"	2022-12-15
"PQ637699.1"	"AB4358"	"Chikungunya virus isolate AB4358, partial genome"	11718	"Thailand"	"Homo sapiens"	2023-12-01
"PQ637700.1"	"AB4445"	"Chikungunya virus isolate AB4445, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-02-14
"PQ637701.1"	"AB4511"	"Chikungunya virus isolate AB4511, partial genome"	11707	"Thailand"	"Homo sapiens"	2023-08-03
"PQ637702.1"	"AB4591"	"Chikungunya virus isolate AB4591, partial genome"	11728	"Thailand"	"Homo sapiens"	2023-09-04
"PQ637703.1"	"AB4627"	"Chikungunya virus isolate AB4627, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-10-05
"PQ637704.1"	"AB4664"	"Chikungunya virus isolate AB4664, partial genome"	11721	"Thailand"	"Homo sapiens"	2023-06-16
"PQ637705.1"	"AB4703"	"Chikungunya virus isolate AB4703, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-07-28
"PQ637706.1"	"AB4724"	"Chikungunya virus isolate AB4724, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-11-08
"PQ637707.1"	"AB4769"	"Chikungunya virus isolate AB4769, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-02-09
"PQ637708.1"	"AB4885"	"Chikungunya virus isolate AB4885, partial genome"	11721	"Thailand"	"Homo sapiens"	2023-10-18
"PQ637709.1"	"AB4970"	"Chikungunya virus isolate AB4970, partial genome"	11717	"Thailand"	"Homo sapiens"	2023-11-14
"PQ637710.1"	"AB5111"	"Chikungunya virus isolate AB5111, partial genome"	11736	"Thailand"	"Homo sapiens"	2023-12-24
"PQ841382.1"	"C50_iics"	"UNVERIFIED: Chikungunya virus isolate C50_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841383.1"	"C61_iics"	"UNVERIFIED: Chikungunya virus isolate C61_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841384.1"	"C67_iics"	"UNVERIFIED: Chikungunya virus isolate C67_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841385.1"	"C89_iics"	"UNVERIFIED: Chikungunya virus isolate C89_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-06-01
"PQ841386.1"	"C102_iics"	"UNVERIFIED: Chikungunya virus isolate C102_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-06-01
"PQ841387.1"	"C130_iics"	"UNVERIFIED: Chikungunya virus isolate C130_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-06-01
"PQ841388.1"	"C131_iics"	"UNVERIFIED: Chikungunya virus isolate C131_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-07-01
"PQ841389.1"	"C136_iics"	"UNVERIFIED: Chikungunya virus isolate C136_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-07-01
"PQ841390.1"	"C151_iics"	"UNVERIFIED: Chikungunya virus isolate C151_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-10-01
"PQ841391.1"	"C156_iics"	"UNVERIFIED: Chikungunya virus isolate C156_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-10-01
"PQ841392.1"	"C162_iics"	"UNVERIFIED: Chikungunya virus isolate C162_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-01
"PQ841393.1"	"C174_iics"	"UNVERIFIED: Chikungunya virus isolate C174_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-01
"PQ841394.1"	"C183_iics"	"UNVERIFIED: Chikungunya virus isolate C183_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-01-01
"PQ841395.1"	"C195_iics"	"UNVERIFIED: Chikungunya virus isolate C195_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-10-01
"PQ841396.1"	"C196_iics"	"UNVERIFIED: Chikungunya virus isolate C196_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-10-01
"PQ841397.1"	"C198_iics"	"UNVERIFIED: Chikungunya virus isolate C198_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-10-01
"PQ841398.1"	"I263_iics"	"UNVERIFIED: Chikungunya virus isolate I263_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-02-01
"PQ841399.1"	"I315_iics"	"UNVERIFIED: Chikungunya virus isolate I315_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-02-01
"PQ841400.1"	"I342_iics"	"UNVERIFIED: Chikungunya virus isolate I342_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-02-01
"PQ841401.1"	"I366_iics"	"UNVERIFIED: Chikungunya virus isolate I366_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-03-01
"PQ841402.1"	"I601_iics"	"UNVERIFIED: Chikungunya virus isolate I601_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-03-01
"PQ841403.1"	"I653_iics"	"UNVERIFIED: Chikungunya virus isolate I653_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841404.1"	"I704_iics"	"UNVERIFIED: Chikungunya virus isolate I704_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841405.1"	"I706_iics"	"UNVERIFIED: Chikungunya virus isolate I706_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841406.1"	"I720_iics"	"UNVERIFIED: Chikungunya virus isolate I720_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841407.1"	"I751_iics"	"UNVERIFIED: Chikungunya virus isolate I751_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841408.1"	"I755_iics"	"UNVERIFIED: Chikungunya virus isolate I755_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841409.1"	"I780_iics"	"UNVERIFIED: Chikungunya virus isolate I780_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841410.1"	"I783_iics"	"UNVERIFIED: Chikungunya virus isolate I783_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-04-01
"PQ841411.1"	"I888_iics"	"UNVERIFIED: Chikungunya virus isolate I888_iics genomic sequence"	11194	"Paraguay"	"Homo sapiens"	2023-05-01
"PQ841412.1"	"I920_iics"	"UNVERIFIED: Chikungunya virus isolate I920_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-05-01
"PQ841413.1"	"paq2976_iics"	"UNVERIFIED: Chikungunya virus isolate paq2976_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-24
"PQ841414.1"	"paq2978_iics"	"UNVERIFIED: Chikungunya virus isolate paq2978_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-24
"PQ841415.1"	"paq2983_iics"	"UNVERIFIED: Chikungunya virus isolate paq2983_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-23
"PQ841416.1"	"paq2980_iics"	"UNVERIFIED: Chikungunya virus isolate paq2980_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-01-25
"PQ841417.1"	"paq3047_iics"	"UNVERIFIED: Chikungunya virus isolate paq3047_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-31
"PQ841418.1"	"paq3048_iics"	"UNVERIFIED: Chikungunya virus isolate paq3048_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-01-31
"PQ841419.1"	"paq3051_iics"	"UNVERIFIED: Chikungunya virus isolate paq3051_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-01-31
"PQ841420.1"	"paq3058_iics"	"UNVERIFIED: Chikungunya virus isolate paq3058_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-02
"PQ841421.1"	"paq3060_iics"	"UNVERIFIED: Chikungunya virus isolate paq3060_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-06-02
"PQ841422.1"	"paq3083_iics"	"UNVERIFIED: Chikungunya virus isolate paq3083_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-07-02
"PQ841423.1"	"paq3156_iics"	"UNVERIFIED: Chikungunya virus isolate paq3156_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-02-14
"PQ841424.1"	"paq3249_iics"	"UNVERIFIED: Chikungunya virus isolate paq3249_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-04-03
"PQ841425.1"	"paq3255_iics"	"UNVERIFIED: Chikungunya virus isolate paq3255_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-07-03
"PQ841426.1"	"paq3286_iics"	"UNVERIFIED: Chikungunya virus isolate paq3286_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-10-03
"PQ841427.1"	"paq3332_iics"	"UNVERIFIED: Chikungunya virus isolate paq3332_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-03-16
"PQ841428.1"	"paq3339_iics"	"UNVERIFIED: Chikungunya virus isolate paq3339_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-03-16
"PQ841429.1"	"paq3345_iics"	"UNVERIFIED: Chikungunya virus isolate paq3345_iics genomic sequence"	11192	"Paraguay"	"Homo sapiens"	2023-03-16
"PQ841430.1"	"paq3461_iics"	"UNVERIFIED: Chikungunya virus isolate paq3461_iics genomic sequence"	11193	"Paraguay"	"Homo sapiens"	2023-11-04
"PV879479.1"	"CHI_RLC1"	"MAG: Chikungunya virus isolate CHI_RLC1 genomic sequence"	11716	"China"	"Homo sapiens"	2019-01-01
"PV879480.1"	"CHI_RLC15"	"MAG: Chikungunya virus isolate CHI_RLC15 genomic sequence"	11801	"China"	"Homo sapiens"	2019-01-01
"PV879485.1"	"CHI_RLJ23"	"MAG: Chikungunya virus isolate CHI_RLJ23 genomic sequence"	11133	"China"	"Homo sapiens"	2019-01-01
"PV879489.1"	"CHI_RLJ26"	"MAG: Chikungunya virus isolate CHI_RLJ26 genomic sequence"	11812	"China"	"Homo sapiens"	2019-01-01
"PV879492.1"	"CHI_RLJ28"	"MAG: Chikungunya virus isolate CHI_RLJ28 genomic sequence"	11744	"China"	"Homo sapiens"	2019-01-01
"PV879493.1"	"CHI_RLJ29"	"MAG: Chikungunya virus isolate CHI_RLJ29 genomic sequence"	11667	"China"	"Homo sapiens"	2019-01-01
"PV879494.1"	"CHI_RLJ30"	"MAG: Chikungunya virus isolate CHI_RLJ30 genomic sequence"	10933	"China"	"Homo sapiens"	2019-01-01
"PV879496.1"	"CHI_RLJ32"	"MAG: Chikungunya virus isolate CHI_RLJ32 genomic sequence"	11807	"China"	"Homo sapiens"	2019-01-01
"PV879497.1"	"CHI_RLJ33"	"MAG: Chikungunya virus isolate CHI_RLJ33 genomic sequence"	11368	"China"	"Homo sapiens"	2019-01-01
"PV879498.1"	"CHI_RLJ35"	"MAG: Chikungunya virus isolate CHI_RLJ35 genomic sequence"	11107	"China"	"Homo sapiens"	2019-01-01
"PV879499.1"	"CHI_JHJ4"	"MAG: Chikungunya virus isolate CHI_JHJ4 genomic sequence"	10654	"China"	"Homo sapiens"	2023-01-01
"PV805110.1"	"CHIKV01/SH/CHN/2025"	"Chikungunya virus isolate CHIKV01/SH/CHN/2025, partial genome"	11891	"China"	"Homo sapiens"	2025-08-05
"OZ252700.1"	"unavailable"	"Chikungunya virus isolate unavailable genome assembly, chromosome: ANDchikv0002"	11816	"Spain"	"Homo sapiens"	2023-02-22
"OZ252701.1"	"unavailable"	"Chikungunya virus isolate unavailable genome assembly, chromosome: ANDchikv0001"	11816	"Spain"	"Homo sapiens"	2023-02-17
"OZ252702.1"	"unavailable"	"Chikungunya virus isolate unavailable genome assembly, chromosome: ANDchikv0003"	11816	"Spain"	"Homo sapiens"	2023-03-14
"OZ252703.1"	"unavailable"	"Chikungunya virus isolate unavailable genome assembly, chromosome: ANDchikv0004"	11816	"Spain"	"Homo sapiens"	2023-03-21
"PV685523.1"		"Chikungunya virus strain S27b02, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-11-04
"PV685524.1"		"Chikungunya virus strain S27b03, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-01-04
"PV685525.1"		"Chikungunya virus strain S27b04, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-03-29
"PV685526.1"		"Chikungunya virus strain S27b05, partial genome"	11237	"Mayotte"	"Homo sapiens"	2025-03-22
"PV685527.1"		"Chikungunya virus strain S27b07, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-03-28
"PV685529.1"		"Chikungunya virus strain S27b09, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-03-27
"PV685530.1"		"Chikungunya virus strain S27b10, partial genome"	11237	"Mayotte"	"Homo sapiens"	2025-12-04
"PV685531.1"		"Chikungunya virus strain S27b11, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-10-04
"PV685532.1"		"Chikungunya virus strain S27b12, partial genome"	11237	"Mayotte"	"Homo sapiens"	2025-03-20
"PV685533.1"		"Chikungunya virus strain S27b13, complete genome"	11237	"Mayotte"	"Homo sapiens"	2025-11-04
"PV685534.1"		"Chikungunya virus strain S5b01, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-05-11
"PV685535.1"		"Chikungunya virus strain S5b06, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-14
"PV685536.1"		"Chikungunya virus strain S5b10, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-22
"PV685537.1"		"Chikungunya virus strain S8b04, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-29
"PV685538.1"		"Chikungunya virus strain S8b05, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-27
"PV685539.1"		"Chikungunya virus strain S8b43, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-19
"PV685540.1"		"Chikungunya virus strain S8b46, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-27
"PV685541.1"		"Chikungunya virus strain S8b47, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-26
"PV685542.1"		"Chikungunya virus strain S8b57, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-01
"PV685543.1"		"Chikungunya virus strain S8b84, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-30
"PV685544.1"		"Chikungunya virus strain S8b91, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-19
"PV685545.1"		"Chikungunya virus strain S8b92, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-30
"PV685546.1"		"Chikungunya virus strain S9b06, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-01
"PV685547.1"		"Chikungunya virus strain S9b52, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-14
"PV685548.1"		"Chikungunya virus strain S9b65, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-24
"PV685549.1"		"Chikungunya virus strain S9b84, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-15
"PV685550.1"		"Chikungunya virus strain S10b05, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-02
"PV685551.1"		"Chikungunya virus strain S10b70, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-20
"PV685552.1"		"Chikungunya virus strain S12b21, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-18
"PV685553.1"		"Chikungunya virus strain S12b53, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-16
"PV685554.1"		"Chikungunya virus strain S12b54, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-13
"PV685555.1"		"Chikungunya virus strain S12b64, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-01
"PV685556.1"		"Chikungunya virus strain S15b22, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-30
"PV685557.1"		"Chikungunya virus strain S15b28, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-28
"PV685558.1"		"Chikungunya virus strain S18b10, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-02
"PV685559.1"		"Chikungunya virus strain S20b56, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-17
"PV685560.1"		"Chikungunya virus strain S25b44, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-22
"PV685561.1"		"Chikungunya virus strain S8b66, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-19
"PV685562.1"		"Chikungunya virus strain S9b40, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-14
"PV685563.1"		"Chikungunya virus strain S10b25, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-05-02
"PV685564.1"		"Chikungunya virus strain S13b17, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-20
"PV685565.1"		"Chikungunya virus strain S13b68, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-24
"PV685566.1"		"Chikungunya virus strain S18b28, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-10-02
"PV685567.1"		"Chikungunya virus strain S19b28, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-18
"PV685568.1"		"Chikungunya virus strain S16b66, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-07-03
"PV685569.1"		"Chikungunya virus strain S9b09, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-28
"PV685570.1"		"Chikungunya virus strain S10b38, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-09-02
"PV685571.1"		"Chikungunya virus strain S19b29, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-19
"PV685572.1"		"Chikungunya virus strain S10b75, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-20
"PV685573.1"		"Chikungunya virus strain S16b39, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-09-03
"PV685574.1"		"Chikungunya virus strain S16b41, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-03
"PV685575.1"		"Chikungunya virus strain S19b02, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-03
"PV685576.1"		"Chikungunya virus strain S8b26, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-12
"PV685577.1"		"Chikungunya virus strain S9b24, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-26
"PV685578.1"		"Chikungunya virus strain S12b45, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-27
"PV685579.1"		"Chikungunya virus strain S14b43, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-03
"PV685580.1"		"Chikungunya virus strain S9b61, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-24
"PV685581.1"		"Chikungunya virus strain S9b80, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-22
"PV685582.1"		"Chikungunya virus strain S9b64, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-24
"PV685583.1"		"Chikungunya virus strain S13b84, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-26
"PV685584.1"		"Chikungunya virus strain S19b39, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-19
"PV685585.1"		"Chikungunya virus strain S16b90, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-10-02
"PV685586.1"		"Chikungunya virus strain S15b91, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-05-03
"PV685587.1"		"Chikungunya virus strain S22b92, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-19
"PV685588.1"		"Chikungunya virus strain S15b29, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-31
"PV685589.1"		"Chikungunya virus strain S20b67, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-03
"PV685590.1"		"Chikungunya virus strain S25b45, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-22
"PV685591.1"		"Chikungunya virus strain S21b86, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-25
"PV685592.1"		"Chikungunya virus strain S20b04, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-03-14
"PV685593.1"		"Chikungunya virus strain S14b04, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-03
"PV685594.1"		"Chikungunya virus strain S5b09, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-18
"PV685595.1"		"Chikungunya virus strain S8b01, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-25
"PV685596.1"		"Chikungunya virus strain S8b03, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-23
"PV685597.1"		"Chikungunya virus strain S8b06, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-27
"PV685598.1"		"Chikungunya virus strain S8b10, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-03-12
"PV685599.1"		"Chikungunya virus strain S8b13, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-04-12
"PV685600.1"		"Chikungunya virus strain S8b14, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-06-12
"PV685601.1"		"Chikungunya virus strain S8b15, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-06-12
"PV685602.1"		"Chikungunya virus strain S8b17, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-07-12
"PV685603.1"		"Chikungunya virus strain S8b29, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-14
"PV685604.1"		"Chikungunya virus strain S8b31, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-14
"PV685605.1"		"Chikungunya virus strain S8b49, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-01
"PV685606.1"		"Chikungunya virus strain S8b75, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-23
"PV685607.1"		"Chikungunya virus strain S9b04, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-01
"PV685608.1"		"Chikungunya virus strain S9b11, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-04-01
"PV685609.1"		"Chikungunya virus strain S9b14, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-07-01
"PV685610.1"		"Chikungunya virus strain S9b21, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-26
"PV685611.1"		"Chikungunya virus strain S9b41, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-13
"PV685612.1"		"Chikungunya virus strain S9b46, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-18
"PV685613.1"		"Chikungunya virus strain S9b78, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-28
"PV685614.1"		"Chikungunya virus strain S10b66, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-01-13
"PV685615.1"		"Chikungunya virus strain S10b67, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-01
"PV685616.1"		"Chikungunya virus strain S12b09, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-06-01
"PV685617.1"		"Chikungunya virus strain S12b15, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-18
"PV685618.1"		"Chikungunya virus strain S12b25, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-27
"PV685619.1"		"Chikungunya virus strain S12b39, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-10-24
"PV685620.1"		"Chikungunya virus strain S12b41, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-09-26
"PV685621.1"		"Chikungunya virus strain S12b63, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-12-12
"PV685622.1"		"Chikungunya virus strain S12b65, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-25
"PV685623.1"		"Chikungunya virus strain S12b70, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-04-12
"PV685624.1"		"Chikungunya virus strain S12b75, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-05-12
"PV685625.1"		"Chikungunya virus strain S12b78, complete genome"	11237	"Reunion"	"Homo sapiens"	2024-11-12
"PV685626.1"		"Chikungunya virus strain S14b32, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-02-26
"PV685627.1"		"Chikungunya virus strain S15b60, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-08-02
"PV685628.1"		"Chikungunya virus strain S15b61, complete genome"	11237	"Reunion"	"Homo sapiens"	2025-12-02
